fi,en
1. Moos,Genesis
2. Moos,Exodus
3. Moos,Leviticus
4. Moos,Numbers
5. Moos,Deuteronomy
Joos,Joshua
Tuom,Judges
Ruut,Ruth
1. Sam,I Samuel
2. Sam,II Samuel
1. Kun,I Kings
2. Kun,II Kings
1. Aik,I Chronicles
2. Aik,II Chronicles
Esra,Ezra
Neh,Nehemiah
Est,Esther
Job,Job
Ps,Psalms
Sananl,Proverbs
Saarn,Ecclesiastes
Laul. l,Song of Solomon
Jes,Isaiah
Jer,Jeremiah
Valit,Lamentations
Hes,Ezekiel
Dan,Daniel
Hoos,Hosea
Joel,Joel
Aam,Amos
Ob,Obadiah
Joona,Jonah
Miika,Micah
Nah,Nahum
Hab,Habakkuk
Sef,Zephaniah
Hagg,Haggai
Sak,Zechariah
Mal,Malachi
Matt,Matthew
Mark,Mark
Luuk,Luke
Joh,John
Ap. t,Acts
Room,Romans
1. Kor,I Corinthians
2. Kor,II Corinthians
Gal,Galatians
Ef,Ephesians
Fil,Philippians
Kol,Colossians
1. Tess,I Thessalonians
2. Tess,II Thessalonians
1. Tim,I Timothy
2. Tim,II Timothy
Tit,Titus
Filem,Philemon
Hepr,Hebrews
Jaak,James
1. Piet,I Peter
2. Piet,II Peter
1. Joh,I John
2. Joh,II John
3. Joh,III John
Juud,Jude
Ilm,Revelation of John
